Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
Medicham,Counter,Dynamic Punch,Ice Punch,Power-Up Punch,Psychic,Psycho Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrike,Discharge,Quick Attack,Spark,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manectric,Charge Beam,Flame Burst,Overheat,Snarl,Thunder,Thunder Fang,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plusle,Discharge,Grass Knot,Quick Attack,Spark,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minun,Discharge,Grass Knot,Quick Attack,Spark,Swift,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volbeat,Bug Buzz,Signal Beam,Struggle Bug,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illumise,Bug Buzz,Dazzling Gleam,Silver Wind,Struggle Bug,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roselia,Dazzling Gleam,Petal Blizzard,Poison Jab,Razor Leaf,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulpin,Gunk Shot,Ice Beam,Pound,Rock Smash,Sludge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swalot,Acid Spray,Gunk Shot,Ice Beam,Infestation,Rock Smash,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carvanha,Aqua Jet,Bite,Crunch,Poison Fang,Return,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpedo,Bite,Crunch,Hydro Pump,Poison Fang,Return,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wailmer,Body Slam,Heavy Slam,Splash,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wailord,Blizzard,Hyper Beam,Surf,Water Gun,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numel,Bulldoze,Ember,Heat Wave,Stomp,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camerupt,Earth Power,Earthquake,Ember,Overheat,Rock Smash,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torkoal,Earthquake,Ember,Fire Spin,Overheat,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spoink,Mirror Coat,Psybeam,Shadow Ball,Splash,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grumpig,Charge Beam,Extrasensory,Mirror Coat,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinda,Dig,Icy Wind,Psycho Cut,Rock Tomb,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trapinch,Crunch,Dig,Mud Shot,Return,Sand Tomb,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibrava,Bug Buzz,Bulldoze,Dragon Breath,Mud Shot,Return,Sand Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flygon,Dragon Claw,Dragon Tail,Earthquake,Mud Shot,Return,Stone Edge,* Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacnea,Brick Break,Grass Knot,Payback,Poison Sting,Return,Seed Bomb,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacturne,Dark Pulse,Dynamic Punch,Grass Knot,Payback,Poison Jab,Return,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swablu,Aerial Ace,Astonish,Disarming Voice,Ice Beam,Peck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altaria,Dazzling Gleam,Dragon Breath,Dragon Pulse,Peck,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zangoose,Close Combat,Dig,Fury Cutter,Night Slash,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seviper,Crunch,Iron Tail,Poison Fang,Poison Jab,Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunatone,Confusion,Moonblast,Psychic,Rock Slide,Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solrock,Confusion,Psychic,Rock Slide,Rock Throw,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barboach,Aqua Tail,Ice Beam,Mud Bomb,Mud Shot,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiscash,Blizzard,Mud Bomb,Mud Shot,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corphish,Aqua Jet,Bubble,Bubble Beam,Rock Smash,Vise Grip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawdaunt,Bubble Beam,Crabhammer,Night Slash,Snarl,Vise Grip,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltoy,Confusion,Dig,Extrasensory,Gyro Ball,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claydol,Confusion,Earth Power,Earthquake,Extrasensory,Gyro Ball,Ice Beam,Mud Slap,Psychic,Rock Tomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lileep,Acid,Ancient Power,Grass Knot,Infestation,Mirror Coat,✝ Bullet Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cradily,Acid,Bulldoze,Bullet Seed,Grass Knot,Infestation,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorith,Ancient Power,Aqua Jet,Cross Poison,Scratch,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armaldo,Cross Poison,Fury Cutter,Rock Blast,Struggle Bug,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feebas,Mirror Coat,Splash,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milotic,Blizzard,Dragon Tail,Hyper Beam,Surf,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castform,Energy Ball,Hex,Hurricane,Tackle,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castform-Rainy,Hydro Pump,Tackle,Thunder,Water Gun,Weather Ball (Water),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castform-Snowy,Blizzard,Ice Beam,Powder Snow,Tackle,Weather Ball (Ice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castform-Sunny,Ember,Fire Blast,Solar Beam,Tackle,Weather Ball (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecleon,Aerial Ace,Flamethrower,Foul Play,Ice Beam,Lick,Shadow Sneak,Sucker Punch,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuppet,Astonish,Feint Attack,Night Shade,Ominous Wind,Return,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banette,Dazzling Gleam,Hex,Return,Shadow Ball,Shadow Claw,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duskull,Astonish,Hex,Night Shade,Ominous Wind,Return,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusclops,Feint Attack,Fire Punch,Hex,Ice Punch,Return,Shadow Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropius,Aerial Ace,Air Slash,Leaf Blade,Razor Leaf,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimecho,Astonish,Energy Ball,Extrasensory,Psyshock,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absol,Dark Pulse,Megahorn,Payback,Psycho Cut,Return,Snarl,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wynaut,Counter,Mirror Coat,Splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snorunt,Avalanche,Hex,Icy Wind,Powder Snow,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glalie,Avalanche,Frost Breath,Gyro Ball,Ice Shard,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spheal,Aurora Beam,Body Slam,Rock Smash,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealeo,Aurora Beam,Body Slam,Powder Snow,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walrein,Blizzard,Earthquake,Frost Breath,Water Pulse,Waterfall,* Powder Snow,* Icicle Spear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clamperl,Body Slam,Ice Beam,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntail,Aqua Tail,Bite,Crunch,Ice Beam,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorebyss,Confusion,Draining Kiss,Psychic,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relicanth,Ancient Power,Aqua Tail,Hydro Pump,Water Gun,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luvdisc,Aqua Jet,Draining Kiss,Splash,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagon,Bite,Crunch,Ember,Flamethrower,Return,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelgon,Dragon Breath,Dragon Pulse,Ember,Flamethrower,Return,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamence,Bite,Draco Meteor,Dragon Tail,Fire Blast,Fire Fang,Hydro Pump,Return,* Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beldum,Return,Struggle,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metang,Gyro Ball,Metal Claw,Psychic,Psyshock,Return,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metagross,Bullet Punch,Earthquake,Flash Cannon,Psychic,Return,Zen Headbutt,* Meteor Mash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regirock,Focus Blast,Lock-On,Rock Smash,Rock Throw,Stone Edge,Zap Cannon,* Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regice,Blizzard,Earthquake,Focus Blast,Frost Breath,Lock-On,Rock Smash,* Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registeel,Flash Cannon,Focus Blast,Hyper Beam,Lock-On,Metal Claw,Rock Smash,* Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latias,Charm,Dragon Breath,Outrage,Psychic,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latios,Dragon Breath,Dragon Claw,Psychic,Solar Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyogre,Blizzard,Hydro Pump,Surf,Thunder,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groudon,Dragon Tail,Earthquake,Fire Blast,Mud Shot,Solar Beam,* Fire Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayquaza,Aerial Ace,Air Slash,Ancient Power,Dragon Tail,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jirachi,Charge Beam,Confusion,Dazzling Gleam,Doom Desire,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys,Charge Beam,Hyper Beam,Psycho Boost,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys-Attack,Dark Pulse,Poison Jab,Psycho Boost,Zap Cannon,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys-Defense,Counter,Psycho Boost,Rock Slide,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxys-Speed,Charge Beam,Psycho Boost,Swift,Thunderbolt,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtwig,Body Slam,Energy Ball,Razor Leaf,Return,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grotle,Bite,Body Slam,Energy Ball,Razor Leaf,Return,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torterra,Bite,Earthquake,Razor Leaf,Return,Sand Tomb,Solar Beam,Stone Edge,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimchar,Ember,Flame Charge,Flame Wheel,Flamethrower,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monferno,Ember,Flame Wheel,Flamethrower,Low Sweep,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infernape,Close Combat,Fire Spin,Flamethrower,Rock Smash,Solar Beam,* Blast Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piplup,Bubble,Bubble Beam,Drill Peck,Icy Wind,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prinplup,Bubble,Bubble Beam,Hydro Pump,Icy Wind,Metal Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empoleon,Blizzard,Drill Peck,Flash Cannon,Hydro Pump,Metal Claw,Waterfall,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starly,Aerial Ace,Brave Bird,Quick Attack,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staravia,Aerial Ace,Brave Bird,Heat Wave,Quick Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staraptor,Brave Bird,Close Combat,Heat Wave,Quick Attack,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bidoof,Crunch,Grass Knot,Hyper Fang,Tackle,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibarel,Hyper Beam,Hyper Fang,Surf,Take Down,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kricketot,Bug Bite,Struggle,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kricketune,Aerial Ace,Bug Buzz,Fury Cutter,Struggle Bug,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shinx,Discharge,Spark,Swift,Tackle,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxio,Bite,Crunch,Spark,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxray,Crunch,Hidden Power,Hyper Beam,Snarl,Spark,Wild Charge,* Psychic Fangs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budew,Energy Ball,Grass Knot,Hidden Power,Razor Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roserade,Dazzling Gleam,Grass Knot,Leaf Storm,Poison Jab,Razor Leaf,Sludge Bomb,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranidos,Ancient Power,Bulldoze,Rock Tomb,Take Down,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampardos,Flamethrower,Outrage,Rock Slide,Smack Down,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shieldon,Ancient Power,Heavy Slam,Iron Tail,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastiodon,Flamethrower,Flash Cannon,Iron Tail,Smack Down,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burmy,Quick Attack,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wormadam,Bug Bite,Bug Buzz,Confusion,Energy Ball,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wormadam-Sandy,Bug Bite,Bug Buzz,Bulldoze,Confusion,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wormadam-Trash,Bug Bite,Bug Buzz,Confusion,Iron Head,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mothim,Aerial Ace,Air Slash,Bug Bite,Bug Buzz,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combee,Bug Bite,Bug Buzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespiquen,Air Slash,Bug Bite,Bug Buzz,Fell Stinger,Fury Cutter,Poison Sting,Power Gem,Signal Beam,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pachirisu,Spark,Thunder,Thunder Punch,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buizel,Aqua Jet,Quick Attack,Swift,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floatzel,Aqua Jet,Hydro Pump,Swift,Water Gun,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherubi,Bullet Seed,Petal Blizzard,Power Whip,Seed Bomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrim,Bullet Seed,Dazzling Gleam,Hyper Beam,Razor Leaf,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrim-Sunshine,Bullet Seed,Dazzling Gleam,Hyper Beam,Razor Leaf,Solar Beam,Weather Ball (Fire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellos,Body Slam,Hidden Power,Mud Bomb,Mud Slap,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastrodon,Body Slam,Earth Power,Hidden Power,Mud Slap,Water Pulse,✝ Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambipom,Aerial Ace,Astonish,Hyper Beam,Low Sweep,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drifloon,Astonish,Hex,Icy Wind,Ominous Wind,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drifblim,Astonish,Hex,Icy Wind,Ominous Wind,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buneary,Fire Punch,Pound,Quick Attack,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopunny,Fire Punch,Focus Blast,Hyper Beam,Low Kick,Pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mismagius,Dark Pulse,Dazzling Gleam,Hex,Return,Shadow Ball,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honchkrow,Brave Bird,Dark Pulse,Peck,Psychic,Sky Attack,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glameow,Aerial Ace,Play Rough,Quick Attack,Scratch,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purugly,Aerial Ace,Play Rough,Scratch,Shadow Claw,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chingling,Psyshock,Shadow Ball,Wrap,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stunky,Bite,Crunch,Flamethrower,Scratch,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skuntank,Bite,Crunch,Flamethrower,Poison Jab,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzor,Confusion,Gyro Ball,Heavy Slam,Payback,Psyshock,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzong,Bulldoze,Confusion,Feint Attack,Flash Cannon,Heavy Slam,Payback,Psychic,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonsly,Counter,Earthquake,Rock Slide,Rock Throw,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mime Jr.,Confusion,Pound,Psybeam,Psychic,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happiny,Dazzling Gleam,Pound,Psychic,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatot,Heat Wave,Night Shade,Peck,Sky Attack,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiritomb,Feint Attack,Ominous Wind,Shadow Ball,Shadow Sneak,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gible,Body Slam,Dig,Mud Shot,Take Down,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabite,Dig,Flamethrower,Mud Shot,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garchomp,Dragon Tail,Earthquake,Fire Blast,Mud Shot,Outrage,Sand Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munchlax,Body Slam,Bulldoze,Gunk Shot,Lick,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riolu,Brick Break,Counter,Cross Chop,Low Sweep,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucario,Aura Sphere,Bullet Punch,Close Combat,Counter,Flash Cannon,Power-Up Punch,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippopotas,Bite,Body Slam,Dig,Rock Tomb,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippowdon,Bite,Body Slam,Earth Power,Earthquake,Fire Fang,Ice Fang,Stone Edge,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skorupi,Aqua Tail,Cross Poison,Infestation,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drapion,Aqua Tail,Bite,Crunch,Fell Stinger,Ice Fang,Infestation,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croagunk,Brick Break,Low Sweep,Poison Jab,Poison Sting,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,Counter,Dynamic Punch,Mud Bomb,Poison Jab,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnivine,Bite,Crunch,Energy Ball,Power Whip,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finneon,Ice Beam,Pound,Silver Wind,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumineon,Blizzard,Silver Wind,Water Gun,Water Pulse,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantyke,Aerial Ace,Bubble,Ice Beam,Tackle,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snover,Energy Ball,Ice Beam,Ice Shard,Powder Snow,Return,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abomasnow,Blizzard,Energy Ball,Outrage,Powder Snow,Razor Leaf,Weather Ball (Ice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weavile,Avalanche,Feint Attack,Focus Blast,Foul Play,Ice Shard,Return,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnezone,Charge Beam,Flash Cannon,Mirror Shot,Return,Spark,Wild Charge,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lickilicky,Earthquake,Hyper Beam,Lick,Shadow Ball,Solar Beam,Zen Headbutt,* Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyperior,Earthquake,Mud Slap,Skull Bash,Smack Down,Stone Edge,Superpower,Surf,* Rock Wrecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangrowth,Ancient Power,Infestation,Power Whip,Rock Slide,Sludge Bomb,Solar Beam,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electivire,Ice Punch,Low Kick,Return,Thunder,Thunder Punch,Thunder Shock,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magmortar,Brick Break,Fire Blast,Fire Punch,Fire Spin,Karate Chop,Psychic,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togekiss,Aerial Ace,Air Slash,Ancient Power,Charm,Dazzling Gleam,Flamethrower,Hidden Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanmega,Aerial Ace,Ancient Power,Bug Bite,Bug Buzz,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leafeon,Energy Ball,Leaf Blade,Quick Attack,Razor Leaf,Solar Beam,* Last Resort,* Bullet Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glaceon,Avalanche,Frost Breath,Ice Beam,Ice Shard,Icy Wind,* Last Resort,* Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gliscor,Aerial Ace,Earthquake,Fury Cutter,Night Slash,Sand Tomb,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamoswine,Avalanche,Bulldoze,Mud Slap,Powder Snow,Stone Edge,* Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porygon-Z,Blizzard,Charge Beam,Hidden Power,Hyper Beam,Lock-On,Return,Solar Beam,Zap Cannon,* Tri Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallade,Charm,Close Combat,Confusion,Leaf Blade,Low Kick,Psychic,Return,* Synchronoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probopass,Magnet Bomb,Rock Slide,Rock Throw,Spark,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusknoir,Astonish,Dark Pulse,Hex,Ominous Wind,Psychic,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froslass,Avalanche,Crunch,Hex,Powder Snow,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom,Ominous Wind,Tackle,Thunder,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotom-Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
